STATE,NAME,POPESTIMATE2010,POPESTIMATE2011,NPOPCHG_2010,NPOPCHG_2011
0,United States,309330219,311591917,584681,2261698
0,Northeast Region,55366108,55521598,48864,155490
0,Midwest Region,66976458,67158835,49471,182377
0,South Region,114857529,116046736,301772,1189207
0,West Region,72130124,72864748,184574,734624
1,Alabama,4785401,4802740,5666,17339
2,Alaska,714146,722718,3915,8572
4,Arizona,6413158,6482505,21145,69347
5,Arkansas,2921588,2937979,5667,16391
6,California,37338198,37691912,84242,353714
8,Colorado,5047692,5116796,18496,69104
9,Connecticut,3575498,3580709,1401,5211
10,Delaware,899792,907135,1858,7343
11,District of Columbia,604912,617996,3189,13084
12,Florida,18838613,19057542,37302,218929
13,Georgia,9712157,9815210,24497,103053
15,Hawaii,1363359,1374810,3058,11451
16,Idaho,1571102,1584985,3520,13883
17,Illinois,12841980,12869257,11348,27277
18,Indiana,6490622,6516922,6822,26300
19,Iowa,3050202,3062309,3852,12107
20,Kansas,2859143,2871238,6025,12095
21,Kentucky,4347223,4369356,7861,22133
22,Louisiana,4545343,4574836,11971,29493
23,Maine,1327379,1328188,-982,809
24,Maryland,5785681,5828289,12129,42608
25,Massachusetts,6555466,6587536,7837,32070
26,Michigan,9877143,9876187,-6492,-956
27,Minnesota,5310658,5344861,6733,34203
28,Mississippi,2970072,2978512,2775,8440
29,Missouri,5995715,6010688,6788,14973
30,Montana,990958,998199,1543,7241
31,Nebraska,1830141,1842641,3800,12500
32,Nevada,2704283,2723322,3732,19039
33,New Hampshire,1316807,1318194,335,1387
34,New Jersey,8799593,8821155,7699,21562
35,New Mexico,2065913,2082224,6733,16311
36,New York,19395206,19465197,17102,69991
37,North Carolina,9560234,9656401,24759,96167
38,North Dakota,674629,683932,2038,9303
39,Ohio,11537968,11544951,1466,6983
40,Oklahoma,3760184,3791508,8830,31324
41,Oregon,3838332,3871859,7258,33527
42,Pennsylvania,12717722,12742886,15343,25164
44,Rhode Island,1052528,1051302,-39,-1226
45,South Carolina,4637106,4679230,11742,42124
46,South Dakota,816598,824082,2418,7484
47,Tennessee,6357436,6403353,11326,45917
48,Texas,25253466,25674681,107905,421215
49,Utah,2775479,2817222,11594,41743
50,Vermont,625909,626431,168,522
51,Virginia,8023953,8096604,22923,72651
53,Washington,6742950,6830038,18410,87088
54,West Virginia,1854368,1855364,1372,996
55,Wisconsin,5691659,5711767,4673,20108
56,Wyoming,564554,568158,928,3604
72,Puerto Rico Commonwealth,3721978,3706690,-3811,-15288